               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11337,            0.013403,            0.075912,           0.0049554,             0.47619,            0.011959,           0.0015163,            0.040377,           0.0056698,             0.02378,              0.0982,              0.0002,              0.0002
                   1,             0.11159,            0.013494,            0.074536,            0.005178,             0.45489,           0.0093969,           0.0014017,            0.039447,           0.0058353,            0.023553,            0.095499,          0.00049901,          0.00049901
                   2,             0.11084,            0.016343,            0.074138,           0.0063022,             0.50501,            0.013952,           0.0017327,            0.037756,           0.0061798,            0.023262,            0.092797,          0.00079683,          0.00079683
                   3,              0.1011,            0.016556,            0.070212,              0.0057,             0.45489,            0.027275,           0.0035899,            0.035348,           0.0067496,            0.022886,            0.090093,           0.0010935,           0.0010935
                   4,            0.088939,            0.023821,            0.066313,           0.0082625,             0.56266,            0.026325,           0.0040798,            0.031716,           0.0075469,            0.022399,            0.087389,           0.0013889,           0.0013889
                   5,            0.078496,            0.022781,             0.06142,            0.015322,             0.97619,             0.15426,            0.031464,            0.028121,           0.0082169,            0.021725,            0.084683,           0.0016832,           0.0016832
                   6,            0.073612,            0.021242,            0.057549,            0.012681,                   1,             0.34437,            0.076251,             0.02583,           0.0085937,            0.020687,            0.081976,           0.0019762,           0.0019762
                   7,            0.074602,             0.02542,            0.053034,             0.01079,                   1,             0.32092,            0.094642,            0.024935,           0.0086151,            0.019721,            0.079268,           0.0022681,           0.0022681
                   8,            0.074451,            0.023978,             0.05229,            0.010681,                   1,             0.23576,            0.072371,            0.023989,           0.0085679,            0.018592,            0.076559,           0.0025588,           0.0025588
                   9,             0.06987,            0.022514,            0.047632,            0.010072,                   1,             0.11242,            0.039251,            0.024598,            0.008265,            0.017496,            0.073848,           0.0028483,           0.0028483
                  10,            0.065654,            0.023419,            0.042753,           0.0091687,                   1,            0.067487,            0.024576,            0.024624,           0.0079403,            0.015266,            0.071137,           0.0031366,           0.0031366
                  11,            0.067076,            0.019784,            0.041388,             0.14879,             0.50501,             0.23335,             0.10412,            0.020735,           0.0083699,            0.014059,            0.068424,           0.0034238,           0.0034238
                  12,             0.06381,            0.019943,            0.039216,              0.2307,             0.50501,             0.40362,             0.16211,            0.022713,           0.0080078,            0.013349,             0.06571,           0.0037097,           0.0037097
                  13,            0.062443,            0.018333,            0.037958,             0.17436,             0.86842,              0.2264,            0.094385,            0.020279,           0.0083733,            0.012707,            0.062994,           0.0039945,           0.0039945
                  14,             0.06573,            0.021353,            0.036796,              0.3332,             0.97368,             0.45896,             0.18394,            0.020445,           0.0085533,            0.012659,            0.060278,            0.004278,            0.004278
                  15,            0.055655,            0.017206,            0.032144,              0.2341,             0.90226,             0.35832,             0.10944,            0.023827,           0.0084906,            0.012941,             0.05756,           0.0045604,           0.0045604
                  16,            0.069705,            0.016905,            0.035094,             0.10118,             0.80201,             0.15344,            0.048898,            0.027157,           0.0089135,            0.012931,            0.054842,           0.0048416,           0.0048416
                  17,            0.071075,            0.017798,             0.03405,             0.10936,             0.71178,             0.30652,            0.069047,            0.024645,           0.0092487,            0.012818,            0.052122,           0.0051216,           0.0051216
                  18,            0.067305,            0.015013,            0.035291,             0.19363,             0.90005,             0.30054,            0.094719,            0.024254,           0.0099013,            0.012685,              0.0494,           0.0054004,           0.0054004
                  19,            0.067456,            0.017257,            0.032872,             0.27738,             0.66165,             0.52521,             0.17862,              0.0238,             0.01025,            0.012863,            0.046678,            0.005678,            0.005678
                  20,            0.059619,            0.015558,             0.03244,             0.32001,             0.68546,             0.45421,             0.15135,            0.028891,            0.010563,            0.012555,            0.043954,           0.0059545,           0.0059545
                  21,            0.062963,            0.014629,            0.030275,              0.3856,              0.7782,             0.57002,             0.22332,            0.024899,            0.011155,            0.012545,             0.04123,           0.0062297,           0.0062297
